Año;Bio;Btrend;BvB;BvT;CPUE;Ctrend;CvMEANC;CvMSY;FF;MCatch;R;SSB;Survey;U;Utrend;UvT;UvU
1994;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2003;NA;NA;NA;NA;NA;8350;0.832225913621262;NA;NA;8350;NA;NA;NA;NA;1.62;1.62;1.62
2004;NA;NA;NA;NA;NA;8210;0.818272425249169;NA;NA;8210;NA;NA;NA;NA;1.63;1.63;1.63
2005;NA;NA;NA;NA;NA;7910;0.788372093023256;NA;NA;7910;NA;NA;NA;NA;1.61;1.61;1.61
2006;NA;NA;NA;NA;NA;6840;0.681727574750831;NA;NA;6840;NA;NA;NA;NA;1.48;1.48;1.48
2007;NA;NA;NA;NA;NA;7020;0.699667774086379;NA;NA;7020;NA;NA;NA;NA;1.5;1.5;1.5
2008;NA;NA;NA;NA;NA;8980;0.895016611295681;NA;NA;8980;NA;NA;NA;NA;1.32;1.32;1.32
2009;NA;NA;NA;NA;NA;10400;103.654.485.049.834;NA;NA;10400;NA;NA;NA;NA;1.22;1.22;1.22
2010;NA;NA;NA;NA;NA;10100;100.664.451.827.243;NA;NA;10100;NA;NA;NA;NA;1.28;1.28;1.28
2011;NA;NA;NA;NA;NA;10300;10.265.780.730.897;NA;NA;10300;NA;NA;NA;NA;1.22;1.22;1.22
2012;NA;NA;NA;NA;NA;9890;0.985714285714286;NA;NA;9890;NA;NA;NA;NA;1.21;1.21;1.21
2013;NA;NA;NA;NA;NA;12800;127.574.750.830.565;NA;NA;12800;NA;NA;NA;NA;1.29;1.29;1.29
2014;NA;NA;NA;NA;NA;12400;12.358.803.986.711;NA;NA;12400;NA;NA;NA;NA;1.16;1.16;1.16
2015;NA;NA;NA;NA;NA;11100;11.063.122.923.588;NA;NA;11100;NA;NA;NA;NA;1.11;1.11;1.11
2016;NA;NA;NA;NA;NA;12700;126.578.073.089.701;NA;NA;12700;NA;NA;NA;NA;1.08;1.08;1.08
2017;NA;NA;NA;NA;NA;13500;134.551.495.016.611;NA;NA;13500;NA;NA;NA;NA;0.836;0.836;0.836
2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;;;;;;;;;;;;;;;UvT;;
