Año;Bio;Btrend;BvB;BvT;CPUE;Ctrend;CvMEANC;CvMSY;FF;MCatch;R;SSB;Survey;U;Utrend;UvT;UvU
1994;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;NA;1390;NA;NA;NA;2430;120.535.714.285.714;NA;1.13;2430;71300000;1390;NA;NA;102.727.272.727.273;102.727.272.727.273;102.727.272.727.273
1999;NA;1780;NA;NA;NA;2410;119.543.650.793.651;NA;1.12;2410;44900000;1780;NA;NA;101.818.181.818.182;101.818.181.818.182;101.818.181.818.182
2000;NA;1700;NA;NA;NA;2300;114.087.301.587.302;NA;1.14;2300;52500000;1700;NA;NA;103.636.363.636.364;103.636.363.636.364;103.636.363.636.364
2001;NA;1730;NA;NA;NA;2690;13.343.253.968.254;NA;1.42;2690;75800000;1730;NA;NA;129.090.909.090.909;129.090.909.090.909;129.090.909.090.909
2002;NA;1460;NA;NA;NA;2730;135.416.666.666.667;NA;1.42;2730;75500000;1460;NA;NA;129.090.909.090.909;129.090.909.090.909;129.090.909.090.909
2003;NA;1550;NA;NA;NA;2590;128.472.222.222.222;NA;1.78;2590;34100000;1550;NA;NA;161.818.181.818.182;161.818.181.818.182;161.818.181.818.182
2004;NA;869;NA;NA;NA;1300;0.64484126984127;NA;1.18;1300;35700000;869;NA;NA;107.272.727.272.727;107.272.727.272.727;107.272.727.272.727
2005;NA;1050;NA;NA;NA;1480;0.734126984126984;NA;1.12;1480;31700000;1050;NA;NA;101.818.181.818.182;101.818.181.818.182;101.818.181.818.182
2006;NA;1170;NA;NA;NA;1600;0.793650793650794;NA;1.17;1600;31700000;1170;NA;NA;106.363.636.363.636;106.363.636.363.636;106.363.636.363.636
2007;NA;1160;NA;NA;NA;1700;0.843253968253968;NA;1.41;1700;71100000;1160;NA;NA;128.181.818.181.818;128.181.818.181.818;128.181.818.181.818
2008;NA;1150;NA;NA;NA;2300;114.087.301.587.302;NA;1.36;2300;50400000;1150;NA;NA;123.636.363.636.364;123.636.363.636.364;123.636.363.636.364
2009;NA;1460;NA;NA;NA;2260;112.103.174.603.175;NA;1.65;2260;42500000;1460;NA;NA;15;15;15
2010;NA;1080;NA;NA;NA;1980;0.982142857142857;NA;1.88;1980;34100000;1080;NA;NA;170.909.090.909.091;170.909.090.909.091;170.909.090.909.091
2011;NA;763;NA;NA;NA;1360;0.674603174603175;NA;1.76;1360;29500000;763;NA;NA;16;16;16
2012;NA;543;NA;NA;NA;1110;0.550595238095238;NA;1.84;1110;19700000;543;NA;NA;167.272.727.272.727;167.272.727.272.727;167.272.727.272.727
2013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;;SSB;;;;;;;;;;;;;UvT;;
